variant,simulation_id,phase,sensor,rmse_K,steady_error_K,t90_error_s,shape_loss
baseline_front_source,E67,heating,T8,274.3076970330387,-263.62209577987517,-150.0,0.0013897620023982844
baseline_front_source,E67,heating,T9_pair,332.01221248551474,-344.55155927318367,-250.0,0.0005236383536765752
baseline_front_source,E67,heating,T10_pair,221.24198915380885,-261.7522110791858,-800.0,0.00015917534122588122
baseline_front_source,E67,heating,T3,160.93951225519575,-208.26289826400125,-550.0,0.00019739277690390838
baseline_front_source,E67,heating,T2,7.090126230212537,-14.107606628824726,-100.0,7.005114025954603e-5
baseline_front_source,E67,heating,T9_pair_minus_T8,62.28421745958068,-80.9294634933085,0.0,0.006956204071785785
baseline_front_source,E67,heating,T10_pair_minus_T8,82.96571425413893,1.8698847006893402,0.0,0.005515024159751632
baseline_front_source,E68,heating,T8,279.4714981831631,-277.4768141096754,-150.0,0.0007881391631683371
baseline_front_source,E68,heating,T9_pair,329.6552531485499,-345.32580669551874,-350.0,0.00023401980066119712
baseline_front_source,E68,heating,T10_pair,203.97237655239115,-242.55157207797697,-800.0,7.211098832127898e-5
baseline_front_source,E68,heating,T3,144.44346068327158,-183.08196986740995,-450.0,0.00012418160497046233
baseline_front_source,E68,heating,T2,10.543367927260789,-18.625224850046095,0.0,3.519553555754588e-5
baseline_front_source,E68,heating,T9_pair_minus_T8,57.161079717085606,-67.84899258584335,0.0,0.005810192380625444
baseline_front_source,E68,heating,T10_pair_minus_T8,103.92254691711261,34.92524203169842,0.0,0.0028874282361161466
baseline_front_source,E69,heating,T8,263.8503238661772,-268.9068005569517,-200.0,0.0005662991831319117
baseline_front_source,E69,heating,T9_pair,304.577448710903,-325.955028078327,-400.0,0.00015561009132677027
baseline_front_source,E69,heating,T10_pair,175.42753187418222,-211.65224691366882,-1100.0,4.6051460544000834e-5
baseline_front_source,E69,heating,T3,120.09057045833524,-154.21929360876868,-600.0,8.292554956988134e-5
baseline_front_source,E69,heating,T2,8.431027430496236,-14.82664604448263,200.0,0.0001410970455513942
baseline_front_source,E69,heating,T9_pair_minus_T8,46.20541195174498,-57.04822752137534,0.0,0.005339523444849999
baseline_front_source,E69,heating,T10_pair_minus_T8,105.21115008261704,57.25455364328286,0.0,0.002130898477764931
baseline_front_source,E70,heating,T8,313.70772419490845,-312.73631652999313,-100.0,0.00035965706265107345
baseline_front_source,E70,heating,T9_pair,320.31199387581455,-339.3586104355371,-450.0,8.888385497157956e-5
baseline_front_source,E70,heating,T10_pair,169.74632812930426,-205.38536410167626,-800.0,3.2882593270071844e-5
baseline_front_source,E70,heating,T3,115.73907194731288,-146.77250577950758,-500.0,6.247669113705864e-5
baseline_front_source,E70,heating,T2,15.494698397736023,-24.87100425067848,100.0,2.3878168139858574e-5
baseline_front_source,E70,heating,T9_pair_minus_T8,35.63702913346038,-26.622293905543984,0.0,0.0025337112882272673
baseline_front_source,E70,heating,T10_pair_minus_T8,167.66841141375795,107.35095242831687,0.0,0.0011548910103189596
baseline_front_source,E71,heating,T8,284.4590678493602,-283.52719971047657,-150.0,0.0009348029697315702
baseline_front_source,E71,heating,T9_pair,264.5879818949341,-285.3741553733207,-600.0,0.00014282731233411982
baseline_front_source,E71,heating,T10_pair,115.88740945350779,-145.15702782932692,-750.0,4.959345564059269e-5
baseline_front_source,E71,heating,T3,76.60397172664698,-96.25381885997922,-450.0,7.420159048533085e-5
baseline_front_source,E71,heating,T2,14.541952381702128,-23.093293307413717,150.0,1.9175724924995387e-5
baseline_front_source,E71,heating,T9_pair_minus_T8,44.022233222964665,-1.8469556628441524,0.0,0.005554252515499189
baseline_front_source,E71,heating,T10_pair_minus_T8,191.9615074191938,138.37017188114964,0.0,0.002489832436049671
baseline_front_source,E72,heating,T8,207.63999543573172,-225.972210886438,-350.0,0.000997993937099163
baseline_front_source,E72,heating,T9_pair,267.78390341743994,-290.88317690268246,-300.0,0.0005455436291270583
baseline_front_source,E72,heating,T10_pair,202.2954298163989,-239.6163928091999,-600.0,0.00025046935769153727
baseline_front_source,E72,heating,T3,157.53125585174735,-201.3313619672016,-500.0,0.00020390104723978555
baseline_front_source,E72,heating,T2,2.707887622632853,-6.032746246128568,-150.0,9.431054742306748e-5
baseline_front_source,E72,heating,T9_pair_minus_T8,60.65311078239543,-64.91096601624446,0.0,0.006208659334164847
baseline_front_source,E72,heating,T10_pair_minus_T8,23.92723257786608,-13.644181922761902,0.0,0.009348951501909878
baseline_front_source,E73,heating,T8,248.79163844878113,-257.6970919988771,-250.0,0.0006186657752252557
baseline_front_source,E73,heating,T9_pair,308.1668132889163,-330.4443930202509,-400.0,0.0002807847456570919
baseline_front_source,E73,heating,T10_pair,215.04349591786018,-255.08956128452724,-950.0,0.00010421872259841547
baseline_front_source,E73,heating,T3,161.8656645200416,-205.06912618440128,-650.0,9.369418729115595e-5
baseline_front_source,E73,heating,T2,6.209151465123152,-11.985360758418949,-100.0,9.846698686756491e-5
baseline_front_source,E73,heating,T9_pair_minus_T8,60.70669231113662,-72.7473010213738,0.0,0.004736811124149003
baseline_front_source,E73,heating,T10_pair_minus_T8,53.24186851768868,2.6075307143498776,0.0,0.0028284993205454014
baseline_front_source,E74,heating,T8,276.97425962535766,-280.55472467612776,-200.0,0.0003595829677017905
baseline_front_source,E74,heating,T9_pair,310.91101701879506,-332.10892209686415,-450.0,0.00012602803702384567
baseline_front_source,E74,heating,T10_pair,186.6700678095977,-224.84576695663668,-800.0,4.142653834067792e-5
baseline_front_source,E74,heating,T3,133.22542227437322,-171.53795341769649,-600.0,5.320444287281665e-5
baseline_front_source,E74,heating,T2,10.600312573941736,-17.99349837621162,0.0,3.0060946227417285e-5
baseline_front_source,E74,heating,T9_pair_minus_T8,41.211078151390126,-51.55419742073639,0.0,0.0035089707993025627
baseline_front_source,E74,heating,T10_pair_minus_T8,108.4475382578719,55.70895771949108,0.0,0.0012460999799309065
baseline_front_source,E75,heating,T8,270.038669871239,-276.995345493683,-200.0,0.00026837676489139314
baseline_front_source,E75,heating,T9_pair,279.8232639782544,-306.1193768137341,-600.0,7.668775095142475e-5
baseline_front_source,E75,heating,T10_pair,146.74928220627535,-183.99629217267966,-850.0,2.722232892058744e-5
baseline_front_source,E75,heating,T3,100.23144017307331,-133.90551630391747,-650.0,4.7332578219440414e-5
baseline_front_source,E75,heating,T2,10.28305807769768,-17.240859498033274,0.0,2.4204896903224573e-5
baseline_front_source,E75,heating,T9_pair_minus_T8,27.802638585501608,-29.12403132005113,0.0,0.0022701140534029537
baseline_front_source,E75,heating,T10_pair_minus_T8,138.513885227167,92.99905332100332,0.0,0.0008737974397132192
baseline_front_source,E76,heating,T8,233.9958744685012,-242.34594713098534,-200.0,0.0002223021339644881
baseline_front_source,E76,heating,T9_pair,215.71866995095522,-240.79700042773186,-550.0,4.425690193746094e-5
baseline_front_source,E76,heating,T10_pair,90.181728349111,-117.25096990701127,-750.0,1.832235045284424e-5
baseline_front_source,E76,heating,T3,56.80955240440493,-76.23416208317667,-600.0,4.444264233181046e-5
baseline_front_source,E76,heating,T2,8.763161754182311,-14.427340819067865,0.0,1.5641943805013958e-5
baseline_front_source,E76,heating,T9_pair_minus_T8,31.37235095914249,1.5489467032534776,0.0,0.0014791637055883364
baseline_front_source,E76,heating,T10_pair_minus_T8,156.34439410385033,125.09497722397407,0.0,0.0006584373123624375
baseline_front_source,E77,heating,T8,38.19533933311253,-38.901285031387374,-700.0,0.002367306710033809
baseline_front_source,E77,heating,T9_pair,92.61390237225959,-109.87168064034017,-650.0,0.00035984526015563404
baseline_front_source,E77,heating,T10_pair,64.44752694311393,-85.68971560428412,-900.0,0.0001679810813534565
baseline_front_source,E77,heating,T3,50.60324054443557,-72.6114957393853,-650.0,0.00021621813073383997
baseline_front_source,E77,heating,T2,2.5950813456206445,1.8219333922179999,-191.0,0.0009380483229768026
