simulation_id,flow_lpm,irradiance,beta_opt,front_dep,front_cell_source_fraction,downstream_source_fraction,T8_model,T8_experiment,T9_pair_model,T9_pair_experiment,T10_pair_model,T10_pair_experiment,T3_model,T3_experiment,T2_model,T2_experiment,T9_minus_T8_model,T9_minus_T8_experiment,T10_minus_T8_model,T10_minus_T8_experiment,rear_tube_exit,receiver_to_tube_heat,receiver_to_cavity_heat,tube_to_cavity_heat,cavity_ambient_heat_loss,flange_heat_loss,mean_nu,max_effectiveness,mean_effectiveness,h_effective
E67,15.2805125,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,664.4165450651486,931.6279999999999,638.6888301795442,978.8844999999999,593.3809553364472,851.525,557.4740513875436,763.414,312.4486360052573,326.43699999999995,-25.727714885604428,47.25649999999996,-71.03558972870144,-80.10299999999995,298.38101126581245,20.6151935015001,25.65157346435389,5.347040093560425,17.341476136204584,22.30173164120296,11.442985482775,0.9999999475641859,0.8749341967789098,355.8340402618274
E68,12.499871559633025,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,732.2083772569163,1012.649,694.2453905774743,1034.3225,636.1855116941537,874.425,593.2858455623812,773.207,320.0807074841829,338.52,-37.962986679442,21.67349999999999,-96.0228655627626,-138.22400000000005,298.40849445516784,21.5922002700365,29.381782741511874,6.239922557361899,23.087641946677046,25.63134283210193,9.6227271071472,0.9999999616760362,0.9104400005818519,319.3034778616931
E69,10.499733944954128,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,787.3724041914072,1058.429,737.873248414804,1057.554,668.2697703262852,874.796,619.5085302465641,769.76,329.71948918178833,344.308,-49.499155776603175,-0.875,-119.10263386512202,-183.63300000000004,298.42455254386965,22.452208316233328,31.995404140298604,6.709980926823589,35.87206191621648,27.847870609607586,8.506847211363185,0.9999999714159028,0.9351618514112467,295.8205028070402
E70,9.107139705882352,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,838.7157805657282,1152.474,775.1689791567899,1107.001,692.5677474803609,891.828,637.6377887839819,779.518,327.8856450478093,352.421,-63.546801408938336,-45.472999999999956,-146.14803308536727,-260.64599999999996,298.4300239251916,23.606640261836876,35.02936827283995,7.272648848101711,31.380325022281113,29.044264300062334,7.678571398917114,0.9999999792407213,0.9539649928851923,277.7017711157461
E71,7.126846153846151,456000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,921.4308192245439,1203.298,832.6025502497147,1107.827,728.1073558484419,865.1495,663.9095021780568,753.56,333.4063564582442,356.00399999999996,-88.82826897482926,-95.471,-193.32346337610204,-338.1485,298.42910563469127,25.111366684400984,39.02358860477255,7.799485234151586,35.64510280336479,30.546017666842953,6.62908037198818,0.9999999890875437,0.9769557099091558,253.66529530862692
E72,18.707575757575754,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,508.8527606412545,737.656,495.7560788978816,784.5055,471.1978371532054,709.0819999999999,452.3210456835566,652.9549999999999,303.9371542428175,309.928,-13.096681743372926,46.849500000000035,-37.65492348804912,-28.57400000000007,298.2797072056434,13.275679164103298,15.119046190668374,3.075683203941348,8.05147190421404,13.03175666433876,14.561939859477526,0.9999999260125342,0.826001179175855,376.04869791934647
E73,13.170870967741934,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,577.4031506622424,837.694,552.9661954251512,881.0165,516.3503039494763,769.5799999999999,490.6802692995313,694.626,313.1943275578653,325.12,-24.436955237091183,43.32249999999999,-61.052846712766154,-68.11400000000003,298.30899202093866,14.647010717782274,18.858866728806863,3.9354182214590905,17.466147835671965,16.81206564392457,10.914239967856624,0.9999999501942557,0.8835502338839958,307.3549209801371
E74,9.023245901639344,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,665.8138700388936,948.538,620.0384138089925,949.0,563.5058519226811,785.9005,527.9738171524065,697.672,316.0771396183215,333.964,-45.775456229901124,0.4619999999999891,-102.30801811621245,-162.63750000000005,298.32828951421635,16.879715764572946,23.85170335471869,4.85678540670466,21.069048572595143,19.810413011921316,8.232905685524702,0.9999999739905275,0.9406750622092543,254.0251397284867
E75,6.944410852713178,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,730.4054020756208,1008.725,664.958281414925,966.9335,592.2448858657255,773.0355,549.7035328867635,681.066,319.4379423598512,336.517,-65.44712066069587,-41.79150000000004,-138.16051620989538,-235.68950000000007,298.3313000410078,18.353477003688134,27.083273662496683,5.300651183126599,24.568408551570627,21.236251329480094,6.995010080338145,0.9999999861063089,0.9690878849458173,228.18975754514733
E76,4.526673611111114,304000.0,184.67243519237965,0.0,0.6365105278484928,0.3634894721515072,826.539538252647,1067.693,724.5451703441079,958.9124999999999,626.2829900792302,738.733,574.6691110602669,647.019,323.99491304704156,338.123,-101.99436790853918,-108.78050000000007,-200.25654817341683,-328.96000000000004,298.31583347743145,19.85144910470343,31.42438612680045,5.8236671041064625,29.833145516208457,22.33803376528621,5.686177883448184,0.9999999967365855,0.9930433605190703,198.56195647826434
